x,y,z
0.4028852672570359,-0.20090364180100165,0.05337906548794465
0.4258555956227647,-0.08513459437837198,0.04602713024289701
0.4110704909774743,0.037943395847553296,0.03461404569508904
0.35372790836662005,0.15669297546754107,0.019650121158791733
0.25192118790871443,0.2550705289164596,0.0022713409832946117
0.11079605916314021,0.3123437573887352,-0.015356168157174024
-0.051297373292304896,0.307266395852965,-0.02981282700713272
-0.2006162627192834,0.23034797126107237,-0.03722738236754632
-0.3008097849968161,0.09675559922932722,-0.035504063259355706
-0.33393720694384116,-0.059417274353349966,-0.02578262057334208
-0.3051939442862963,-0.20565682784850262,-0.011196399335963442
-0.23120919680382235,-0.32238724947418673,0.00512940005156402
-0.12956016097021206,-0.40146134158847446,0.020916426202980745
-0.014917171801720919,-0.44136920857782436,0.034695352459834086
0.10118485440074615,-0.44382823405142113,0.0455482157769385
0.20960463480763378,-0.4120561618780688,0.05289925512398687
0.30269321598073096,-0.3500885619616965,0.056376450561506565
0.37372943262090214,-0.26263243883045784,0.0557477670041947
0.41640656974118917,-0.15536842424393754,0.05089874930971548
0.4247106727671116,-0.03545526191246107,0.04186257884122775
-,-,-
0.5340832647621858,-0.48874183697384216,0.037521499960957196
0.5971482451157184,-0.4101705969980274,0.040083948049311494
0.6486662796256444,-0.3236669743908145,0.04187127914160728
0.6876711870307616,-0.23091880034022033,0.042850871101631285
0.7134393092734828,-0.13372502833527689,0.04300562134449084
0.7255007789028337,-0.03396153067844809,0.042334128224235795
0.7236461977461355,0.06645387046130269,0.04085059710482038
0.7079287774061171,0.16559658470041508,0.038584481609369344
0.6786620385514791,0.2615701326793617,0.03557987270534416
0.6364133981199019,0.35253988689710003,0.031894666079321024
0.5819924311527149,0.43676771448792756,0.027599409814309837
0.5164381142843429,0.512639624234523,0.022776189190858012
0.44099838640561295,0.5786984619296083,0.017516998904068763
0.35710912763999536,0.6336688052338102,0.011922188637042358
0.266368692042383,0.6764811413508298,0.006098661867587309
0.1705096604050913,0.7062924550616829,0.00015796345216431695
0.07136795099409537,0.7225032082690126,-0.005785735799645746
-0.029150327340575155,0.7247703480984953,-0.011617730397299101
-0.12910383696850564,0.7130160002604262,-0.017224917031974173
-0.2265522807530493,0.6874315356295698,-0.022497943466425627
-0.3195934028058571,0.6484767442119999,-0.027333332566276274
-0.4064000761776063,0.5968739145813562,-0.031635541506915894
-0.4852567692080172,0.5335967002513927,-0.035318913655258966
-0.5545946289661747,0.4598537577460754,-0.03830947896619799
-0.6130243834153684,0.37706726313212313,-0.04054655828263028
-0.6593662496224983,0.286846551457287,-0.04198412798937027
-0.6926760488630924,0.19095727197284093,-0.04259190428713931
-0.712266774978271,0.09128660454200876,-0.04235611107002295
-0.7177249421298544,-0.01019476881339021,-0.041279902031120586
-0.7089211522063823,-0.11147310761183443,-0.03938341606623435
-0.6860144680150585,-0.21053352851329893,-0.03670345502363157
-0.6494503508918547,-0.30540236606841464,-0.033292783946466814
-0.599952112920998,-0.39418890564887554,-0.029219065643103195
-0.5385060351269482,-0.47512541124942287,-0.02456345308998879
-0.46634050317548426,-0.5466044102752299,-0.019418874183529132
-0.3848997004059483,-0.607212279484962,-0.013888053098630863
-0.2958125642024641,-0.6557582967879609,-0.008081320450004068
-0.2008578471352967,-0.6912984757780773,-0.0021142701814014578
-0.10192622260310796,-0.7131536748339509,0.003894675617462727
-0.0009804322835939572,-0.7209216602012166,0.009826732015436074
0.09998551108434126,-0.714482992228521,0.01556518638063727
0.19898707500908003,-0.694000785951531,0.02099774689171657
0.29408897951999946,-0.6599145629486078,0.026018753541731048
0.3834431427463907,-0.6129285542053943,0.030531207646905242
0.46532405798476306,-0.5539949292812053,0.03444858356509174
0.5381609786494801,-0.4842925134054977,0.03769639433450917
0.6005664103964082,-0.40520161151328005,0.04021349082240964
0.6513605304768445,-0.3182755888331681,0.041953081362569644
-,-,-
-0.14530893602582962,0.9725529260974349,0.00003321337538343582
-0.23111024795375612,0.9557543016413738,0.00003266925429570844
-0.3151144745762014,0.9315238179976622,0.0000318698309006874
-0.39666905800188434,0.9000516105011416,0.000030820926440826764
-0.4751419789889624,0.8615867010726705,0.000029530403988971057
-0.5499273363177445,0.8164346375801808,0.00002800809657330867
-0.6204518867193209,0.7649535517272326,0.00002626568056227519
-0.6861748936977567,0.7075545495033007,0.000024316697216009826
-0.7466001306552279,0.644692343580138,0.00002217623865105228
-0.801274992618267,0.5768642808658923,0.000019860921104227847
-0.8497951710466104,0.5046048610676095,0.000017388702636029356
-0.8918076064654984,0.42848076143671016,0.000014778717275412357
-0.9270128815118127,0.3490856528990274,0.000012051101039404935
-0.9551670467067351,0.26703487763284406,0.000009226812203251394
-0.9760828809653943,0.18296005633410925,0.000006327448151057673
-0.9896305410900214,0.0975041854851933,0.000003375078186896523
-0.9957380078979386,0.011314110746014239,3.9198453008756056e-7
-0.9943902285256874,-0.07496108286669065,-0.000002599392912532781
-0.9856287506990234,-0.16067780485533628,-0.0000055767246237527145
-0.9695503138238767,-0.2452021119738329,-0.000008517936585187095
-0.9463051819255738,-0.32791434357524984,-0.000011401372937434203
-0.9160951127956953,-0.4082134900630727,-0.000014205950212456997
-0.879171004906921,-0.48552127225288766,-0.000016911302307383175
-0.8358302633701198,-0.5592859157409883,-0.00001949791558269758
-0.7864134732104355,-0.6289861929481606,-0.00002194727400095439
-0.7313029105458332,-0.6941323752496086,-0.000024241897103441497
-0.6709172199937645,-0.7542720775394601,-0.000026365549178403452
-0.6057092535104838,-0.8089909221750221,-0.00002830326826537197
