x,y
129.38417388965692,-674.4266106428256
124.8380224455607,-673.8123955655915
120.29031783582978,-673.1897972482703
118.01590075795397,-672.8753567316741
118.01590075795397,-672.8753567316741
118.01590075795397,-672.8753567316741
115.74111660254124,-672.5588232626993
115.74111660254124,-672.5588232626993
115.74111660254124,-672.5588232626993
115.74111660254124,-672.5588232626993
115.74111660254124,-672.5588232626993
113.46597243815613,-672.2401978214166
113.46597243815613,-672.2401978214166
108.91463238453014,-671.5966750129693
