x,y
2672.4063715420707,691.8299292985397
2568.4843071912533,684.1443658530967
2466.0838886305737,675.9208589068985
2364.3882350039585,667.1044881415095
2263.5526912922724,657.7109615226627
2163.741653530859,647.7587743983465
2066.309658990353,637.3991714911042
1969.1241206772947,626.411877731358
1873.5249292876656,614.9448804234326
1779.7262688176097,603.0343157283395
1686.6053186648007,590.5363688708443
1595.6690659462547,577.6541874704783
1507.1824368719779,564.444184670676
1419.9281479191447,550.7310059525719
1334.0550647712473,536.5295764108328
1249.7258197656847,521.8591844901164
1168.802614199791,507.0604331967897
1088.1824590698727,491.5633689839516
1011.5245199218673,476.07546621619247
935.51157423165,459.9323721238431
862.1680302919474,443.54779194759664
789.7510726619442,426.51502030902515
722.6328451031194,409.8910020862693
654.7680140926752,392.1708651784078
590.6848113369764,374.4962069690497
528.417911023743,356.33151929313175
468.17437253236784,337.6962580241698
412.8969551742803,319.5402971044549
357.6174307431424,300.2048530293049
305.2520453380034,280.6050487248686
256.2181456290733,260.89283829114606
211.0170415568394,241.30229257128164
166.75136602898698,220.4750780085326
127.25262847356356,200.1448276124497
89.45249628664786,178.66150979766417
53.71643217430848,155.85252219772278
24.796286030751507,134.84614574965437
-0.5726619263361488,113.58673544753479
-21.682041567154396,92.67455916591547
-41.767457067897254,67.81609412484302
-52.46756832553008,50.565674024033584
-61.17460708785016,31.450575512629232
-65.33062402165848,17.80798292622335
-66.78969734650542,10.796140110459444
-67.79179232540746,3.7107635264474705
-68.31569763851357,-3.4006144363229573
-68.31569763851357,-3.4006144363229573
-68.31569763851357,-3.4006144363229573
-68.31569763851357,-3.4006144363229573
-68.31569763851357,-3.4006144363229573
-68.31569763851357,-3.4006144363229573
-68.35272303101479,-10.487756521484027
-68.35272303101479,-10.487756521484027
-67.90761580902371,-17.501094366717737
-66.99790782667792,-24.395024137776232
-63.905572870702,-37.67680872648916
-56.67752997577446,-55.99869176032703
-47.30093690041903,-72.24973495438498
-29.1043692575353,-95.20260188214917
-9.567381439986981,-114.09148587896448
14.218471027999149,-132.90407166317348
41.5895486044512,-151.10838717008815
75.66069497176419,-170.44251590270662
111.90899451232066,-188.23985560962083
149.95387966612884,-204.71014450424735
192.74514471186555,-221.2038442361423
236.57342957332617,-236.36269071658828
284.2399824928652,-251.26135219195325
335.2600489301307,-265.71484207387755
389.22666746156926,-279.61223861803524
443.28454823034144,-292.32571404668096
502.29017541272907,-305.0249979586459
563.3643926324334,-317.0500193591184
626.3008648112469,-328.40190029750505
693.0302675374294,-339.4222140298426
761.1195506046278,-349.70919522572945
830.4507883835979,-359.2927204347939
902.7862284114857,-368.4257014460812
977.8207078835898,-377.04996645035845
1055.2826273216963,-385.1235369679534
1133.2655831762338,-392.46822941340156
1214.9403604847732,-399.3815282490376
1296.8362454711576,-405.56923670461583
1381.9234377248165,-411.260616570151
1468.435932845279,-416.32404340253447
1557.6169200645281,-420.8241921722558
1646.500217575699,-424.6212542466262
1738.9987011983962,-427.87944877810213
1832.2240678970413,-430.48034338690746
1927.2921775575956,-432.4563159538303
2023.9908629573063,-433.79245320161823
2120.98666901161,-434.47384146156577
2220.4031480897806,-434.5088939697302
2320.8923986970017,-433.8808878279326
2422.290841185062,-432.5876536408258
2524.443761956746,-430.62891751878436
